keyword,rank,bid,impressions,clicks,cpc,cost,bid_cal,impressions_cal,clicks_cal,attr
대구3D프린팅,10,290,25,1,290.0,290,0.0,0.0,0.0,저관련비인기
MAKERBOTREPLICATOR+,10,70,12,0,,0,0.0,0.0,0.0,저관련비인기
모형업체,10,680,23,1,602.0,602,0.0,0.0,0.0,고관련비인기
대구3D프린터,8,540,93,2,438.0,877,0.21052631578947367,0.011764705882352941,0.0,저관련인기
와우3D,10,70,5,0,,0,0.0,0.0,0.0,저관련비인기
산업용3D프린터가격,10,170,0,0,,0,0.0,0.0,0.0,저관련비인기
DESKTOPMETAL,1,70,249,0,,0,0.0,0.0,0.0,저관련인기
실리콘시제품,10,70,4,0,,0,0.0,0.0,0.0,저관련비인기
인천오토캐드,10,1350,0,0,,0,0.0,0.0,0.0,저관련비인기
설계용역,7,3290,232,2,2656.0,5312,0.3390804597701149,0.005347593582887694,0.0,고관련인기
설계도,6,260,1235,0,,0,0.19999999999999996,0.016742770167427645,0.0,저관련인기
3D외주,10,1220,30,2,1032.0,2065,0.0,0.0,0.0,저관련비인기
울산3D프린트,10,70,9,0,,0,0.0,0.0,0.0,저관련비인기
부산시제품제작,10,220,11,1,179.0,179,0.0,0.0,0.0,고관련비인기
대구시제품제작,10,80,11,0,,0,0.0,0.0,0.0,고관련비인기
LASERCUTTER,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
3D모델링외주,10,480,22,3,431.0,1294,0.0,0.0,0.0,저관련비인기
지그주문제작,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
제품디자인비용,10,2640,17,0,,0,0.0,0.0,0.0,저관련비인기
제품디자인업체,10,2970,25,5,2505.0,12523,0.0,0.0,0.0,저관련비인기
3DDRAWING,10,70,5,0,,0,0.0,0.0,0.0,저관련비인기
3DSYSTEM,3,130,9,0,,0,0.8571428571428571,0.0,0.0,저관련비인기
3D제품,10,290,14,0,,0,0.0,0.0,0.0,저관련비인기
3D프린터활용,10,70,193,0,,0,0.0,0.0,0.0,저관련인기
대전3D프린터,7,1290,58,1,1048.0,1048,0.3116883116883117,0.0816326530612245,0.0,저관련인기
디비디제작,10,70,6,0,,0,0.0,0.0,0.0,저관련비인기
목업샘플,10,180,57,0,,0,0.0,0.0,0.0,저관련인기
바인더주문제작,7,1560,53,5,1336.0,6682,0.06521739130434782,0.019999999999999997,0.25,고관련인기
바인더커버,10,180,38,0,,0,0.0,0.0,0.0,저관련비인기
부산시제품,10,520,4,0,,0,0.0,0.0,0.0,저관련비인기
바인더소량제작,10,1040,23,1,896.0,896,0.0,0.0,0.0,고관련비인기
제품디자인의뢰,10,1940,8,0,,0,0.0,0.0,0.0,고관련비인기
특허시제품,10,250,3,0,,0,0.0,0.0,0.0,저관련비인기
하드웨어개발,6,1410,51,1,1183.0,1183,0.4084507042253521,0.1428571428571428,0.0,저관련인기
특허제품,10,250,78,2,190.0,381,0.0,0.0,0.0,저관련인기
디자인업체,10,3470,380,11,3043.0,33475,0.0,0.0,0.0,고관련인기
설계외주,10,340,18,2,317.0,634,0.0,0.0,0.0,저관련비인기
제품디자인회사,10,7710,706,11,6542.0,71959,0.0,0.0,0.0,저관련인기
SUS316L,10,280,293,2,228.0,455,0.0,0.0,0.0,저관련인기
전자제품개발,10,1380,17,2,1152.0,2304,0.0,0.0,0.0,저관련비인기
하드웨어제작,10,70,16,0,,0,0.0,0.0,0.0,고관련비인기
아이디어제품,9,730,391,6,612.0,3672,0.25862068965517243,0.13333333333333333,0.0,저관련인기
개발대행,10,140,15,0,,0,0.0,0.0,0.0,저관련비인기
H/W개발,3,260,6,0,,0,2.7142857142857144,0.0,0.0,저관련비인기
압력용기제작,10,180,44,2,154.0,307,0.0,0.0,0.0,저관련비인기
캡스톤디자인제작,10,70,1,0,,0,0.0,0.0,0.0,고관련비인기
3D프린팅대구,10,70,4,0,,0,0.0,0.0,0.0,저관련비인기
금속모형제작,10,70,0,0,,0,0.0,0.0,0.0,고관련비인기
시제품제작지원,10,610,38,0,,0,0.0,0.0,0.0,저관련비인기
금속시제품제작,10,70,0,0,,0,0.0,0.0,0.0,고관련비인기
캡스톤디자인아이디어,10,70,32,0,,0,0.0,0.0,0.0,저관련비인기
대구시제품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
보드개발,10,110,8,2,110.0,220,0.0,0.0,0.0,저관련비인기
워킹목업제작,10,260,4,0,,0,0.0,0.0,0.0,고관련비인기
시제품업체,10,470,5,0,,0,0.0,0.0,0.0,고관련비인기
HP,8,710,31663,9,617.0,5553,0.08196721311475409,0.018786127167630062,0.125,저관련인기
캡스톤작품,10,70,0,0,,0,0.0,0.0,0.0,저관련비인기
발명,9,200,1468,1,200.0,200,0.17647058823529413,0.047075606276747506,0.0,저관련인기
