연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
MYSQL교육,10,0.7,7.34,< 10,0.7,22.23,15,높음
ACE자격증,50,0.0,0.0,40,0.5,1.36,12,중간
아두이노보드,640,3.5,0.58,400,0.3,0.07,15,높음
소프트웨어교육,580,1.6,0.29,440,4.7,1.09,15,높음
강합성거더,10,1.5,11.54,< 10,0.4,11.12,2,중간
FLOVENT,10,0.0,0.0,20,0.0,0.0,3,높음
열저항측정,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
핀튜브,110,2.2,1.95,140,1.5,1.12,10,중간
에어컨교육,30,1.2,3.35,110,1.7,1.59,9,중간
각파이프밴딩,100,4.3,4.22,130,2.3,1.85,9,중간
에너지관리기능사필기,370,2.9,0.81,740,12.3,1.74,15,높음
공조냉동인강,10,0.7,7.47,20,0.7,2.47,7,중간
공조냉동기계기사인터넷강의,< 10,0.2,2.95,< 10,0.0,0.0,10,중간
온책,90,0.0,0.0,500,1.0,0.21,2,중간
IT기술,1440,0.3,0.02,1190,0.0,0.0,15,높음
공조냉동기계기사인강추천,20,1.9,9.85,30,0.7,2.25,7,중간
공조냉동기계기능사필기,170,1.5,0.94,380,0.3,0.1,15,높음
해커학원,30,0.3,1.2,110,7.2,6.45,15,높음
MSSQL강의,10,0.3,1.68,< 10,0.0,0.0,15,높음
공조냉동기계기능사,1970,9.9,0.53,4670,37.3,0.85,15,높음
공조냉동기사인강,10,1.1,10.61,< 10,0.0,0.0,7,중간
냉동공조기능사,200,1.6,0.84,590,7.3,1.24,7,중간
공조,6640,4.1,0.07,26300,3.8,0.02,15,높음
에너지관리기사동영상,40,2.5,5.99,30,0.0,0.0,9,중간
공냉식칠러,200,8.4,4.18,210,10.1,4.87,15,높음
유니티강좌,160,1.1,0.69,100,1.7,1.66,15,높음
오염,1700,0.3,0.03,3110,0.3,0.02,3,높음
유니티3D,860,1.3,0.16,250,2.0,0.88,15,높음
응용SW엔지니어링,70,0.0,0.0,20,0.0,0.0,3,높음
공조냉동학원,170,9.0,5.17,300,12.1,4.14,11,중간
아파트입찰,320,1.4,0.45,200,3.2,1.67,15,높음
정보보안기사,11500,10.4,0.1,14700,6.3,0.05,15,높음
내가죽였다,20,0.0,0.0,90,0.0,0.0,3,높음
탈것종이접기,< 10,0.0,0.0,10,0.0,0.0,0,낮음
원피스93,20,0.0,0.0,70,1.0,1.39,3,높음
비오는날생긴일,20,0.0,0.0,40,0.3,0.82,3,높음
상복이어울리는엘렉트라,40,0.0,0.0,120,0.3,0.27,3,높음
성화의신비,10,0.0,0.0,30,0.0,0.0,3,높음
원투쓰리포,140,0.0,0.0,770,0.6,0.09,2,중간
추석전날달밤에,10,0.3,3.04,10,0.0,0.0,3,높음
나사체결기,50,4.0,6.78,10,3.0,17.65,15,높음
화학배관,30,0.0,0.0,< 10,0.0,0.0,3,높음
한국전력공사입찰,580,0.9,0.16,40,0.0,0.0,8,중간
건축입찰,50,1.1,2.25,30,0.3,0.99,15,높음
공정자동화,70,0.9,1.32,30,0.3,0.99,15,높음
아파트공사입찰,100,3.5,3.5,30,0.0,0.0,5,중간
악의꽃,11700,1.8,0.02,76000,6.0,0.01,13,중간
열교환기설계,50,0.6,1.2,10,0.0,0.0,15,높음
PILOTPLANT,180,0.3,0.2,80,0.0,0.0,3,높음
3DS,1420,0.5,0.04,2260,2.0,0.1,15,높음
조력발전,640,0.0,0.0,980,0.0,0.0,3,높음
냉동공조기사,210,0.6,0.32,280,0.0,0.0,8,중간
냉동공조기계기능사,100,1.2,1.18,160,0.5,0.35,5,중간
공조냉동기계기사필기인강,10,0.7,6.03,< 10,0.3,3.71,8,중간
공조냉동기계기사실기강의,< 10,0.0,0.0,10,0.4,2.64,3,높음
입찰21,60,4.0,6.92,20,2.9,11.95,3,낮음
공조냉동기계산업기사실기학원,140,9.3,6.77,170,4.8,2.83,4,낮음
MSSQL학원,< 10,0.1,1.34,< 10,0.7,16.67,15,높음
기업입찰사이트,10,0.0,0.0,< 10,0.0,0.0,0,낮음
사이트관리,60,0.1,0.11,40,0.7,1.56,15,높음
MONGODB,720,0.6,0.09,350,0.3,0.11,15,높음
무료IT교육,10,0.3,3.04,10,0.0,0.0,15,높음
에어컨설치교육,40,2.0,4.55,100,0.7,0.67,3,높음
배관시공,60,0.7,1.15,70,2.7,3.93,15,높음
플랜트배관설계,20,0.5,1.93,10,0.0,0.0,4,낮음
터보기계,30,0.0,0.0,20,0.0,0.0,3,높음
자동차전장,1090,0.0,0.0,2210,0.0,0.0,3,높음
전산모사,100,0.0,0.0,40,0.0,0.0,3,높음
전장,4190,0.0,0.0,6870,0.0,0.0,3,높음
PARTICLE,3140,0.1,0.01,5430,0.7,0.02,10,중간
오일처닝,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
이물개선,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
