연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
소방드론,410,2.3,0.56,630,1.5,0.25,15,높음
제품개발설계,60,1.6,2.76,60,2.6,4.0,15,높음
태양광디자인,20,1.3,5.46,10,0.0,0.0,2,중간
터치테이블,40,0.8,1.67,80,0.0,0.0,15,높음
예약대출기,< 10,0.0,0.0,10,0.0,0.0,3,높음
산업디자인설계,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
사출디자인,< 10,1.0,50.0,< 10,0.0,0.0,3,높음
장비설계,30,1.0,3.35,20,0.0,0.0,15,높음
장치설계,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
운송로봇,10,0.0,0.0,10,0.3,3.34,3,높음
개발의뢰,30,0.5,1.23,10,0.0,0.0,15,높음
미용기기디자인,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
제품동영상,30,0.4,1.06,10,0.0,0.0,15,높음
제품디자인회사순위,< 10,0.1,2.44,< 10,0.0,0.0,10,중간
개발컨설팅,10,0.0,0.0,20,0.0,0.0,3,높음
마스크디자인,420,2.8,0.67,1090,16.7,1.59,15,높음
판금설계,90,0.3,0.36,110,0.3,0.32,15,높음
부산시제품제작,10,0.2,2.0,10,0.0,0.0,15,높음
전자제품디자인,30,0.5,1.67,< 10,0.0,0.0,15,높음
부산시제품,< 10,0.1,0.84,< 10,0.7,7.41,15,높음
제품디자인프리랜서,10,0.1,0.96,< 10,0.0,0.0,15,높음
자판기설계,10,0.0,0.0,< 10,0.0,0.0,3,높음
부산목업,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
생활용품디자인,60,0.3,0.5,120,0.3,0.29,15,높음
공업디자인,120,0.0,0.0,280,0.0,0.0,15,높음
굿즈디자인,150,2.3,1.6,160,0.9,0.61,15,높음
로봇설계,40,0.4,0.82,50,0.3,0.66,15,높음
공공시설물디자인,30,0.7,2.03,10,0.3,2.78,3,높음
세로형간판,20,0.1,0.38,10,0.0,0.0,12,중간
리플렛사이트,10,0.1,0.56,10,0.0,0.0,15,높음
부산배너출력,< 10,0.3,10.26,< 10,0.0,0.0,13,중간
제품산업디자인,< 10,0.0,0.0,10,0.0,0.0,3,높음
제품디자인컨설팅,< 10,0.3,6.78,< 10,0.0,0.0,15,높음
중소기업정부지원사업,90,2.0,2.13,10,0.0,0.0,8,중간
외국홈페이지,20,0.3,1.06,< 10,0.0,0.0,15,높음
키오스크설계,< 10,0.1,0.77,< 10,0.0,0.0,15,높음
웨어러블디자인,10,0.0,0.0,10,0.0,0.0,3,높음
기구디자인,30,0.8,2.29,10,0.0,0.0,15,높음
유명한제품디자이너,50,0.0,0.0,30,0.0,0.0,2,중간
산업디자이너,700,0.5,0.07,1540,1.0,0.07,15,높음
정부지원사업,2210,12.5,0.59,1350,15.8,1.25,15,높음
아이디어상품개발,10,0.6,3.34,20,0.0,0.0,15,높음
설계용역,350,2.1,0.6,140,3.2,2.34,15,높음
금형제조,50,0.3,0.65,50,0.5,0.95,15,높음
금형제작지원,20,0.3,1.34,10,0.0,0.0,3,높음
도어디자인,30,0.3,0.87,70,0.8,1.14,14,높음
자동차목업,20,0.5,2.03,20,0.3,1.45,15,높음
자동차부품설계,30,0.2,0.53,60,0.0,0.0,15,높음
장비개발,30,0.2,0.49,10,0.0,0.0,11,중간
프라스틱금형,10,1.0,7.82,10,0.0,0.0,15,높음
프라스틱성형,< 10,0.1,1.12,10,0.3,2.09,15,높음
목업견적,< 10,0.1,1.34,< 10,0.0,0.0,15,높음
금형제작,1390,32.9,2.42,2040,82.5,4.22,15,높음
아이디어제품제작,10,0.7,6.07,10,0.0,0.0,15,높음
알루미늄압출성형,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
MOLD,3670,0.8,0.03,6670,1.3,0.03,10,중간
사출성형업체,10,1.8,11.25,10,1.0,7.15,15,높음
사출업체,160,5.0,3.13,100,6.3,6.34,15,높음
사출회사,50,1.1,1.84,100,0.3,0.33,15,높음
금형설계,680,4.0,0.6,740,10.3,1.45,15,높음
금형공장,70,0.8,0.97,90,1.0,1.15,15,높음
수출바우처지원사업,160,0.0,0.0,20,0.0,0.0,15,높음
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
제품디자인기업,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
제품디자인외주,10,0.5,3.12,< 10,0.0,0.0,15,높음
기구설계회사,< 10,0.7,16.67,< 10,0.0,0.0,15,높음
제품개발프로세스,150,0.1,0.09,80,0.0,0.0,15,높음
제품개발의뢰,< 10,0.6,10.0,< 10,1.0,25.0,15,높음
전자기기개발,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
연구개발,940,0.5,0.06,460,0.0,0.0,15,높음
3D기구설계,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
3D설계,370,1.4,0.38,260,2.3,0.95,15,높음
제품제작,150,4.8,3.29,130,10.2,7.96,15,높음
산업디자인업체,10,0.3,2.57,< 10,0.0,0.0,15,높음
종합디자인전문회사,10,0.0,0.0,< 10,0.0,0.0,3,높음
UX디자인에이전시,< 10,0.3,16.67,< 10,0.0,0.0,3,높음
한국디자인회사,10,0.0,0.0,10,0.0,0.0,3,높음
홈페이지지원사업,70,0.2,0.29,20,0.3,1.29,15,높음
홈페이지제작지원사업,70,1.5,1.97,10,0.3,1.86,15,높음
창업도약패키지,1330,1.4,0.11,530,0.0,0.0,15,높음
수출지원사업,150,0.3,0.22,30,0.7,2.03,15,높음
카다로그지원사업,< 10,0.0,0.0,< 10,0.3,6.67,3,높음
중소기업지원사업,1550,3.5,0.24,520,0.0,0.0,15,높음
제품디자인스튜디오,10,0.2,1.66,10,0.0,0.0,12,중간
수출바우처디자인,20,0.3,1.29,< 10,0.0,0.0,15,높음
키오스크디자인,80,1.2,1.4,60,0.0,0.0,15,높음
글로벌강소기업,560,1.5,0.28,290,0.0,0.0,15,높음
자판기디자인,10,0.1,1.0,10,0.3,3.34,13,중간
시제품개발,90,1.8,1.96,30,0.7,2.03,15,높음
제품디자인의뢰,< 10,0.2,2.86,10,1.0,9.1,15,높음
아이디어상품화,10,0.1,0.67,10,0.3,2.28,15,높음
로봇디자인,70,0.4,0.62,50,0.0,0.0,14,높음
아이디어제작,10,0.7,4.45,10,0.0,0.0,15,높음
제품디자인견적,< 10,0.0,0.0,< 10,1.0,25.0,15,높음
졸업작품목업,< 10,0.4,6.67,10,0.0,0.0,15,높음
가전제품디자인,40,0.1,0.16,20,1.3,6.35,15,높음
상품개발,270,1.1,0.43,220,0.3,0.16,15,높음
수출역량강화사업,10,0.1,0.48,< 10,0.0,0.0,15,높음
수출성공패키지,20,0.1,0.29,< 10,0.0,0.0,15,높음
제품기구설계,< 10,0.3,8.89,< 10,0.0,0.0,15,높음
전기자동차디자인,20,0.0,0.0,40,0.0,0.0,2,중간
POS디자인,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
TV디자인,10,0.0,0.0,20,0.0,0.0,3,높음
도어락디자인,10,0.0,0.0,10,0.7,7.41,3,높음
수출바우처홈페이지,20,0.3,1.16,< 10,0.0,0.0,15,높음
CMF디자인,170,0.0,0.0,310,0.0,0.0,3,높음
디스플레이디자인,60,0.0,0.0,40,0.0,0.0,15,높음
수출바우처사업수행기관,10,0.5,2.6,< 10,0.0,0.0,15,높음
제품디자인사이트,20,0.3,0.99,< 10,0.0,0.0,15,높음
제품디자인스케치,20,0.1,0.24,20,0.0,0.0,15,높음
대전시제품제작,10,0.3,1.49,< 10,0.0,0.0,15,높음
제품설계,330,4.7,1.42,140,4.0,2.74,15,높음
수출바우처수행사,40,0.1,0.32,< 10,0.0,0.0,15,높음
기구설계업체,10,0.5,4.11,< 10,0.0,0.0,15,높음
생활용품디자이너,< 10,0.0,0.0,10,0.0,0.0,3,높음
공기청정기개발,10,0.7,6.67,< 10,0.0,0.0,3,높음
