연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
ABS가공,40,0.9,2.4,20,1.8,6.74,15,높음
기계제작업체,10,1.0,5.89,< 10,0.0,0.0,15,높음
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
CAD3D,180,0.3,0.15,60,0.0,0.0,15,높음
프리랜서작가,90,1.3,1.41,160,1.7,1.15,15,높음
삽화디자인,10,0.9,4.51,10,0.0,0.0,13,중간
국산캐드,110,3.5,3.23,40,3.0,7.15,14,높음
부산투시도,< 10,1.1,35.56,< 10,0.0,0.0,15,높음
대구조감도,20,0.9,3.15,90,0.3,0.39,14,높음
설계도,1360,2.0,0.16,1440,1.0,0.08,15,높음
캐드무료다운,230,8.3,3.79,30,0.0,0.0,4,낮음
개발대행,20,0.1,0.58,10,0.0,0.0,15,높음
전원주택평면도,430,9.1,2.17,730,26.0,3.9,15,높음
STP뷰어,880,7.8,0.9,70,0.3,0.47,12,중간
캔버스유화,100,1.1,1.08,550,15.0,2.9,15,높음
정보처리산업기사,10700,9.5,0.1,15900,4.3,0.03,15,높음
일러스트대행,< 10,0.8,10.0,20,2.7,12.13,15,높음
건축인테리어,340,2.1,0.63,970,16.3,1.78,15,높음
캐드강사,< 10,0.7,7.41,20,0.0,0.0,3,높음
CAD무료,90,0.1,0.16,10,0.0,0.0,14,높음
캐드도면그리기,140,0.9,0.63,70,0.0,0.0,10,중간
캐드도면제작,< 10,0.5,5.94,< 10,0.0,0.0,15,높음
인테리어모델링,90,0.8,0.82,60,0.0,0.0,15,높음
오토캐드과외,10,1.3,9.1,20,3.2,10.87,13,중간
오토캐드도면,520,0.3,0.07,230,0.0,0.0,15,높음
도면청사진,< 10,0.7,7.41,< 10,0.0,0.0,3,높음
설계도그리기,120,0.7,0.56,50,0.7,1.29,14,높음
건축설계학원,50,1.7,3.09,120,4.8,4.22,15,높음
도면그려주는곳,< 10,0.4,4.96,10,0.0,0.0,13,중간
CAD작업,20,0.4,1.5,10,0.3,3.71,14,높음
3D캐드도면,20,0.0,0.0,10,0.3,2.33,3,높음
AUTOCAD학생용,880,12.7,1.49,190,0.0,0.0,4,낮음
캐드교육,100,1.3,1.28,50,1.3,2.4,15,높음
피앤아이디,20,0.0,0.0,40,0.0,0.0,3,높음
화관법설치검사,40,0.2,0.53,10,0.0,0.0,8,중간
유틸리티배관,30,0.0,0.0,40,0.7,1.63,3,높음
유해화학물질취급시설,200,0.6,0.28,30,0.0,0.0,13,중간
