연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
컴퓨터응용선반기능사학원,< 10,0.6,10.0,< 10,0.0,0.0,3,낮음
선반가공,1050,6.3,0.62,1860,24.0,1.4,15,높음
기계정비산업기사,2510,6.4,0.27,4910,19.5,0.41,14,높음
생산자동화산업기사,1460,5.1,0.36,2380,20.7,0.91,15,높음
전기실무교육,60,1.9,3.3,90,7.3,9.06,14,높음
3D프린트,950,8.8,0.94,1040,27.9,2.85,15,높음
3DCAD,560,1.3,0.24,330,2.7,0.83,15,높음
프레스금형,920,13.3,1.48,640,11.3,1.88,15,높음
전산응용기계제도기능사필기,860,2.1,0.25,1020,7.5,0.78,15,높음
전산응용기계제도기능사학원,30,0.7,2.16,70,3.7,5.63,15,높음
건설기계설비기사,2010,9.3,0.48,3380,22.5,0.7,14,높음
전산응용기계제도기능사실기,1360,4.7,0.36,2130,17.1,0.87,15,높음
철도모형,340,2.3,0.7,630,11.7,1.98,15,높음
공조냉동기사,740,4.8,0.67,1040,16.3,1.65,14,높음
압력용기,940,12.9,1.38,560,5.0,0.93,15,높음
제품개발의뢰,< 10,0.6,10.0,< 10,1.0,25.0,15,높음
플라스틱사출,1560,37.1,2.45,2400,70.3,3.05,15,높음
슬러지건조기,40,2.1,4.37,20,0.0,0.0,13,중간
자동화업체,30,0.7,1.89,20,0.0,0.0,15,높음
사출금형산업기사,370,3.2,0.9,430,6.0,1.43,12,중간
승강기기능사,2760,7.9,0.3,7450,49.0,0.69,15,높음
CAD교육,70,0.3,0.36,40,2.3,5.99,15,높음
설비보전기사,2350,7.7,0.34,3610,2.3,0.07,12,중간
자동차보수도장기능사,420,0.5,0.14,1590,10.7,0.7,15,높음
전기기능장,1980,9.9,0.52,3400,29.3,0.92,15,높음
무료빅데이터,410,1.9,0.49,330,6.3,2.02,15,높음
드론조종사,670,3.1,0.49,1270,40.0,3.31,15,높음
빅데이터분석가,1180,1.3,0.12,1270,8.5,0.71,15,높음
기계기술사,640,1.6,0.26,950,0.7,0.08,14,높음
수지가공,170,5.4,3.24,170,1.7,1.05,15,높음
EBM,360,0.8,0.23,690,0.7,0.11,15,높음
산업용기계,60,0.9,1.36,50,3.0,5.67,15,높음
알루미늄제작,170,4.4,2.64,220,9.7,4.56,15,높음
산업기계,200,3.3,1.62,160,5.3,3.56,15,높음
전자기기개발,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
3D기구설계,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
기구설계회사,< 10,0.7,16.67,< 10,0.0,0.0,15,높음
외관디자인,50,0.8,1.46,20,0.0,0.0,6,중간
정밀기계,90,0.0,0.0,150,0.7,0.49,15,높음
기계기구설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
압력용기설계,50,0.8,1.41,10,0.0,0.0,13,중간
개발컨설팅,10,0.0,0.0,20,0.0,0.0,3,높음
자전거설계,< 10,0.3,4.77,< 10,0.0,0.0,3,높음
의료기기기구설계,10,0.0,0.0,< 10,0.0,0.0,2,중간
인버터설계,20,0.0,0.0,< 10,0.3,3.71,3,높음
LED설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
