relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
제품기획,160,80,0.5,1.0,0.31,1.3,15,높음
레진3D프린터,150,190,1.4,1.0,0.97,0.55,10,중간
투명레진,130,290,0.3,0.5,0.23,0.19,14,높음
시제품디자인,10,10,0.3,0.0,4.09,0.0,14,높음
비행기모형,490,2480,4.5,110.2,1.01,4.99,15,높음
블랙박스디자인,< 10,< 10,0.0,0.3,0.0,4.77,3,높음
3D프린터샘플제작,20,10,1.0,0.0,5.89,0.0,15,높음
웨어러블디자인,20,20,0.0,0.0,0.0,0.0,3,높음
3D스캐닝업체,10,< 10,0.3,0.3,2.41,33.34,15,높음
플랜지가공,40,20,2.3,0.0,5.7,0.0,3,높음
플라스틱규격,10,< 10,0.0,0.3,0.0,16.67,3,높음
POLYCARBONATE,960,420,2.1,0.8,0.25,0.19,15,중간
전자제품제작,10,10,0.6,0.3,4.27,1.76,14,높음
3D프린팅주문,< 10,10,0.2,0.3,3.13,1.76,5,중간
케이스제작,840,1590,20.3,33.9,2.6,2.32,15,중간
기구설계알바,10,< 10,0.0,0.0,0.0,0.0,1,중간
외함제작,10,< 10,0.3,0.0,2.24,0.0,12,중간
3D도면,1050,840,7.7,16.0,0.81,2.05,15,중간
3D제품디자인,40,20,0.7,0.0,1.89,0.0,15,높음
전북3D프린터,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
3D샘플,10,< 10,0.2,0.0,1.82,0.0,14,높음
3D프린팅외주,40,20,4.5,2.0,12.1,11.12,8,중간
신제품개발,240,150,0.1,0.0,0.03,0.0,15,중간
타이타늄,480,860,0.3,0.0,0.08,0.0,3,높음
사출,4480,7500,10.8,45.7,0.27,0.66,15,중간
3D출력,190,120,7.1,8.5,4.1,7.27,15,높음
3D프린터설계제작,20,20,0.6,0.0,2.82,0.0,3,낮음
설계아르바이트,10,< 10,1.0,0.0,7.7,0.0,6,중간
플라스틱성형,250,280,7.2,10.0,3.07,4.14,15,높음
PVC평판,30,20,1.2,1.0,4.59,4.0,13,중간
3D프린터비용,30,20,0.8,0.7,3.08,2.9,15,높음
사출성형,1140,770,5.5,0.0,0.53,0.0,15,중간
5축가공업체,40,< 10,2.7,0.0,6.68,0.0,15,높음
PVDF,1300,680,8.1,14.5,0.69,2.3,15,높음
전문디자인업체,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
산업용3D프린터가격,10,< 10,0.2,0.0,2.64,0.0,14,높음
PPF도금,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
우레탄판,200,240,6.4,4.5,3.71,1.97,15,높음
SUS304H,20,< 10,0.0,0.0,0.0,0.0,3,높음
SUS301EH,< 10,< 10,1.0,0.0,25.0,0.0,1,중간
안양3D프린터,< 10,10,0.2,0.0,2.18,0.0,13,중간
플라스틱제조,190,170,5.0,6.5,2.78,4.02,15,높음
QDM금형,110,60,3.3,0.3,3.17,0.51,14,높음
종이모형제작,20,< 10,0.5,0.0,2.59,0.0,14,높음
금형업체,80,60,3.1,1.0,3.65,1.82,15,높음
3D프린터피규어제작,10,20,1.1,0.0,6.28,0.0,15,높음
레진피규어,560,1660,7.2,54.5,1.4,3.53,15,중간
목업비용,10,< 10,0.5,0.0,3.34,0.0,15,높음
비누몰드제작,20,50,4.4,7.5,18.16,15.0,14,높음
서울3D프린팅,10,10,1.1,0.3,6.99,3.71,14,높음
소품제작,130,200,7.8,14.3,6.0,7.5,15,높음
3D프린팅주문제작,10,30,1.1,2.3,9.56,8.34,13,중간
대전3D프린팅,40,40,2.1,3.3,6.47,9.26,15,높음
3D인형,20,110,0.9,10.3,3.62,9.75,15,높음
3D출력업체,< 10,< 10,0.0,0.0,0.0,0.0,15,높음
3D프린터제작비용,10,10,0.6,0.0,4.5,0.0,14,높음
대구3D프린터업체,< 10,10,0.7,0.0,9.53,0.0,3,높음
철도모형,310,710,1.9,42.7,0.68,6.84,15,중간
스텐파이프제작,20,20,1.3,0.3,7.3,1.59,13,중간
소형CNC밀링,10,< 10,0.7,0.0,6.67,0.0,3,높음
강남3D프린터,10,10,0.2,0.0,2.09,0.0,11,중간
