relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx
쥬얼리라이노,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
주얼리3D,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
라이노쥬얼리,< 10,< 10,0.0,0.7,0.0,18.19,0,낮음
금속디자인학과,< 10,20,0.0,0.0,0.0,0.0,3,높음
금속공예기법,30,60,0.0,0.0,0.0,0.0,3,높음
은판,100,250,3.4,10.5,3.47,4.31,13,중간
왁스주물,10,50,0.8,0.0,4.55,0.0,3,높음
한국금속공예,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
금속공예창업,< 10,20,1.0,0.0,11.12,0.0,2,중간
보석세공과,< 10,20,0.0,0.0,0.0,0.0,2,낮음
보석직업전문학교,< 10,< 10,0.3,0.0,4.35,0.0,3,낮음
라이노주얼리,20,20,0.3,0.0,1.29,0.0,3,높음
보석감정사실기,10,20,0.0,1.1,0.0,4.09,3,높음
보석감정사시험,10,30,0.0,0.0,0.0,0.0,3,높음
금방창업,10,110,0.3,1.0,3.34,0.97,3,높음
주얼리캐드캠학원,< 10,< 10,0.0,0.0,0.0,0.0,2,중간
금은방창업,60,480,1.5,11.8,2.53,2.6,15,높음
라이노3D,900,370,1.9,2.8,0.23,0.79,15,높음
여성기술직,50,210,0.3,0.7,0.61,0.35,3,높음
보석감정기능사,20,70,0.0,0.5,0.0,0.85,2,중간
태장대,40,160,1.5,0.7,3.35,0.44,5,중간
서울은공예,< 10,20,1.0,0.0,50.0,0.0,1,중간
악세사리배우기,< 10,20,0.0,0.3,0.0,1.76,3,높음
보석감정학원,10,60,2.0,3.5,15.69,6.18,4,낮음
칠보공예,460,1460,4.4,50.3,0.99,3.68,14,높음
