연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
3D프린트제작,50,2.3,4.36,70,7.3,11.29,15,높음
카티아학원,70,1.7,2.35,130,11.6,8.83,15,높음
기계설계기능사,180,0.0,0.0,170,0.0,0.0,10,중간
의료전자기능사,220,0.0,0.0,460,0.0,0.0,3,높음
농막신고,680,3.1,0.46,1610,3.0,0.2,8,중간
DWGTRUEVIEW,4300,25.6,0.61,240,0.0,0.0,9,중간
건축캐드,770,2.5,0.34,1630,27.3,1.77,15,높음
시제품제작,2620,24.5,0.98,770,42.8,5.78,15,높음
CAD학원,290,3.9,1.44,500,18.3,3.76,15,높음
대한화재,120,0.2,0.17,290,0.0,0.0,15,높음
워드프로세서1급,4050,6.3,0.17,6590,15.4,0.25,15,높음
인테리어국비지원,30,0.1,0.45,60,1.0,1.7,15,높음
캐드알바,250,4.6,1.87,420,18.3,4.68,15,높음
QDM금형,150,3.7,2.55,70,0.0,0.0,15,높음
건축사학원,490,8.1,1.69,410,8.3,2.15,12,중간
전산응용건축제도기능사,7480,11.5,0.17,11700,42.0,0.38,15,높음
설계사,500,0.3,0.07,990,0.0,0.0,15,높음
전자캐드,270,0.3,0.1,360,0.7,0.19,15,높음
4대보험가입절차,70,0.3,0.46,60,0.0,0.0,13,중간
사출금형,1540,18.3,1.23,1270,12.8,1.06,15,높음
건축설계사,1140,3.7,0.34,3070,35.3,1.21,15,높음
기계설계회사,30,1.1,2.97,40,0.0,0.0,15,높음
NX,1350,3.9,0.31,1280,0.0,0.0,15,높음
가상인테리어,510,1.7,0.35,660,0.5,0.08,15,높음
스케치업브이레이,1810,1.4,0.09,1050,3.3,0.33,15,높음
오토캐드도면,520,0.3,0.07,230,0.0,0.0,15,높음
금형학과,20,1.0,4.55,20,1.0,3.85,1,중간
사출금형자격증,10,0.0,0.0,20,0.0,0.0,1,중간
캐드,15500,41.6,0.28,20600,132.5,0.68,15,높음
캐드자격증,3430,5.5,0.17,6090,52.0,0.9,15,높음
아바쿠스,650,2.9,0.45,740,2.3,0.32,15,높음
알루미늄케이스제작,90,3.9,4.21,100,7.1,7.15,15,높음
CAD알바,80,1.6,2.0,110,2.0,1.86,15,높음
워드자격증,2370,2.6,0.12,4400,7.1,0.17,15,높음
3DITEMS,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
SLA3D프린팅,20,0.8,3.14,< 10,0.0,0.0,13,중간
3D프린터의뢰,60,2.2,3.44,100,12.7,12.43,15,높음
3D프린터출력물,80,0.9,1.02,40,0.0,0.0,15,높음
건물모형,110,1.3,1.25,190,8.3,4.46,15,높음
아이디어제품,520,1.6,0.32,610,5.0,0.87,15,높음
3D캐릭터제작,20,0.3,1.29,20,1.3,6.67,15,높음
바닥재,2370,30.0,1.32,5850,98.0,1.8,15,높음
씨마트론,60,0.7,1.11,30,0.0,0.0,6,중간
CADMAS,160,2.9,1.86,20,0.5,1.93,14,높음
랜더링,2490,1.1,0.05,3040,0.9,0.04,15,높음
대구시제품,< 10,0.6,6.67,< 10,0.3,5.56,15,높음
취업자격증,1170,2.2,0.2,2510,1.3,0.06,15,높음
기계도면보는법,150,0.1,0.06,210,0.3,0.17,12,중간
기계설계국비지원,10,0.5,5.04,< 10,0.0,0.0,14,높음
기계제도,650,0.9,0.15,640,0.0,0.0,15,높음
3D캐드,1180,1.7,0.15,1020,5.3,0.55,15,높음
CNC교육,70,2.0,2.78,60,3.3,5.47,15,높음
제품케이스제작,10,0.9,6.23,< 10,1.4,17.86,15,높음
발명품,3380,4.7,0.15,9710,5.3,0.06,15,높음
외함제작,30,1.8,5.32,10,2.3,17.95,15,높음
용기제작,90,4.7,5.15,100,10.7,10.16,15,높음
간이금형,90,1.4,1.53,30,0.0,0.0,15,높음
멕클릭,210,4.0,1.89,30,0.0,0.0,13,중간
용도변경비용,280,1.1,0.41,630,9.7,1.59,15,높음
CATIA자격증,90,0.1,0.08,50,0.0,0.0,14,높음
기술학원,180,3.4,1.93,560,11.0,2.06,15,높음
평면도,5850,4.2,0.08,5120,0.7,0.02,15,높음
머천다이저,1760,0.3,0.02,3600,0.0,0.0,14,높음
CREO,1110,6.2,0.58,550,6.3,1.2,15,높음
마스터캠X9,70,2.3,3.48,60,1.3,2.09,5,중간
대구목업,10,0.8,7.28,< 10,0.0,0.0,15,높음
교보,10000,20.1,0.21,16500,0.0,0.0,4,낮음
아파트도면,1770,6.8,0.4,2300,20.0,0.94,15,높음
금형제작,1390,32.9,2.42,2040,82.5,4.22,15,높음
케이스제작,730,14.3,2.03,1800,45.1,2.68,15,높음
목업,5660,11.0,0.2,3700,16.8,0.48,15,높음
실내건축기사실기,1030,6.8,0.68,1880,28.6,1.59,15,높음
마스터캠학원,10,1.4,7.87,40,1.9,4.59,5,중간
용도변경,1840,5.7,0.32,1390,15.7,1.2,15,높음
기계요소설계,1030,0.5,0.06,770,0.0,0.0,15,높음
맥클릭,180,1.6,0.89,30,0.3,0.81,13,중간
개발,8990,1.5,0.02,13500,0.3,0.01,15,높음
VFX,3330,7.9,0.25,3950,42.0,1.17,15,높음
3D인테리어,1180,2.7,0.25,1220,21.7,1.97,15,높음
캐드도면,2810,7.1,0.27,2990,55.0,1.94,15,높음
실내건축기능사실기,700,2.5,0.38,1260,10.7,0.9,15,높음
수원컴퓨터학원,510,13.6,2.71,1000,66.4,6.96,15,높음
싱크대도면,180,4.7,2.64,220,1.1,0.52,3,낮음
머시닝센터활용매뉴얼,50,1.1,2.03,90,0.6,1.15,3,높음
내보험찾기,2130,3.3,0.16,4600,28.5,0.66,15,높음
미니어쳐제작,70,4.5,6.3,130,9.7,7.5,15,높음
건축모형,590,12.0,2.1,800,17.0,2.22,15,높음
STL파일,620,0.6,0.11,280,0.0,0.0,15,높음
3D프린터대행,150,4.3,3.03,130,11.0,8.4,15,높음
방열판제작,10,1.2,6.86,20,2.5,11.37,10,중간
컴퓨터응용가공산업기사,1790,8.1,0.47,2550,25.0,1.01,15,높음
컴퓨터교육,440,3.5,0.81,550,17.3,3.32,15,높음
PLM솔루션,30,0.4,1.47,< 10,0.0,0.0,9,중간
도면,5060,3.9,0.08,3650,4.7,0.14,15,높음
3D프린터설계제작,10,1.7,9.26,20,0.0,0.0,3,높음
ABS가공,40,0.9,2.4,20,1.8,6.74,15,높음
기계제작업체,10,1.0,5.89,< 10,0.0,0.0,15,높음
전자제품제작,10,0.4,2.5,10,0.3,2.78,15,높음
기구개발,100,0.1,0.14,80,0.0,0.0,15,높음
건축감리,980,2.5,0.27,1520,0.3,0.03,15,높음
설계외주,10,0.1,0.89,10,0.0,0.0,15,높음
산업디자인,2460,2.1,0.09,4230,14.0,0.35,15,높음
기계설계산업기사,4420,10.6,0.25,6110,32.3,0.55,15,높음
기업단체보험,70,1.5,2.01,40,0.3,0.75,15,높음
건축설계도면,550,4.0,0.74,1110,1.7,0.16,15,높음
실내인테리어디자인,50,0.1,0.13,100,0.0,0.0,15,높음
침대리폼,100,1.4,1.33,1080,36.3,3.71,15,높음
발코니확장,900,3.1,0.36,1710,24.3,1.53,15,높음
머시닝,260,0.6,0.23,300,6.0,2.07,15,높음
설계자격증,90,0.1,0.11,90,0.0,0.0,10,중간
기계설계자격증,100,0.0,0.0,90,0.0,0.0,15,높음
주형제작,10,0.0,0.0,10,0.0,0.0,1,중간
외주설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
K-ESP,20,0.0,0.0,< 10,0.0,0.0,2,중간
3D프린팅대구,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
대구3D,90,0.4,0.44,60,0.0,0.0,15,높음
대구3D모델링,< 10,0.1,1.36,< 10,0.0,0.0,15,높음
ODM제조,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
캐드공부,60,0.1,0.21,80,0.7,0.82,15,높음
CIMATRON,70,0.6,0.82,20,0.0,0.0,7,중간
기계구조해석,< 10,0.1,2.0,< 10,0.0,0.0,14,높음
전극모델링,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
피큐어제작,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
3D프린터샘플,40,1.4,3.57,10,1.3,8.34,14,높음
3D프린터시제품,80,2.9,3.54,40,4.0,9.76,15,높음
3D프린터출력소,10,0.8,4.71,10,0.3,2.78,15,높음
3D프린트,950,8.8,0.94,1040,27.9,2.85,15,높음
3D프린팅대행,80,1.9,2.46,40,5.0,11.91,15,높음
3D프린팅서비스,30,1.9,6.45,10,0.7,5.56,15,높음
MOCK-UP,490,0.1,0.03,70,0.0,0.0,15,높음
SLS,1230,0.7,0.07,3060,0.0,0.0,15,높음
기구설계업체,10,0.5,4.11,< 10,0.0,0.0,15,높음
도면제작,150,1.0,0.7,80,2.7,3.18,15,높음
디자인설계,90,1.0,1.08,60,0.0,0.0,15,높음
목업디자인,130,0.6,0.46,50,0.0,0.0,15,높음
상품개발,270,1.1,0.43,220,0.3,0.16,15,높음
선박모형,60,1.9,3.17,70,4.8,7.43,15,높음
설치미술,1040,3.0,0.3,1770,0.7,0.04,14,높음
시제품개발,90,1.8,1.96,30,0.7,2.03,15,높음
아이디어상품제작,30,0.4,1.38,50,3.5,6.94,15,높음
워킹목업,170,2.4,1.4,40,1.0,2.13,15,높음
제품디자인,2620,36.5,1.42,1960,22.5,1.19,15,높음
제품디자인회사,870,13.3,1.57,320,12.3,3.94,15,높음
특허시제품제작,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
프로토타입제작,70,0.1,0.1,40,0.3,0.84,15,높음
3DPRINTER,240,2.3,0.96,150,4.0,2.76,15,높음
3D프린터건축,410,1.0,0.27,600,1.0,0.19,14,높음
2D캐드,130,0.0,0.0,150,0.0,0.0,15,높음
컴퓨터응용선반,90,0.0,0.0,70,0.3,0.43,3,높음
AUTOCAD공부,< 10,0.0,0.0,< 10,0.0,0.0,13,중간
AUTOCAD독학,20,0.2,1.07,< 10,0.0,0.0,8,중간
CAM프로그래밍,10,0.0,0.0,< 10,0.0,0.0,1,중간
CNC선반기계,10,0.0,0.0,10,0.3,2.39,3,높음
MCT머시닝센터,30,0.0,0.0,30,0.0,0.0,3,높음
MOLDWIZARD,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
M코드,320,0.0,0.0,860,0.0,0.0,3,높음
NX8,20,0.0,0.0,20,0.0,0.0,3,높음
NXCAD,70,0.5,0.77,30,0.0,0.0,9,중간
