keyword,bidding1st ,bidding2st ,bidding3st ,bidding4st ,bidding5st ,bidding6st ,bidding7st ,bidding8st ,bidding9st ,bidding10st 
CCTV개발,320,70,70,70,70,70,70,70,70,70
광주3D프린터,3730,3300,2630,1600,1130,940,820,660,510,400
프라스틱성형,800,770,640,540,450,410,350,300,250,210
MOLD,760,490,400,350,300,240,210,170,130,80
플라스틱금형제작,1040,960,910,890,830,780,730,690,650,550
금형제작지원,80,70,70,70,70,70,70,70,70,70
캡스톤대행,360,100,80,70,70,70,70,70,70,70
을지로제작,160,70,70,70,70,70,70,70,70,70
목업견적,1500,1270,1090,940,910,880,800,660,570,440
기계모형,650,580,530,450,340,270,250,200,160,150
목업집,560,490,340,210,190,160,130,110,100,100
전시모형제작,5750,5230,4640,3860,3630,3400,3300,3110,2840,2750
부산3D프린트,2930,2240,1790,1000,220,170,120,100,90,70
아이디어개발,1190,980,770,620,510,420,340,280,250,230
중국공장,1960,1430,850,700,640,560,500,440,390,330
조명주문제작,1100,820,760,730,690,640,560,450,410,370
조명제작,780,670,580,500,440,390,340,280,250,230
전북3D프린팅,1010,820,160,70,70,70,70,70,70,70
기발한아이디어상품,300,260,220,190,170,160,140,130,120,110
광주3D프린팅,2750,1870,1430,1190,980,810,530,410,300,220
대전모형제작,1220,380,320,240,180,110,100,80,70,70
청주3D프린팅,2650,1550,1070,930,730,580,420,320,280,220
광주시제품제작,1210,1140,960,720,250,200,150,100,80,70
제주3D프린팅,1020,490,140,70,70,70,70,70,70,70
청주3D프린터,3020,2740,2490,1800,1530,1330,980,750,450,280
전주3D프린팅,1840,1560,1250,940,810,560,380,220,170,120
대전시제품제작,1800,1210,1180,1090,930,720,530,470,390,270
서울모형,160,140,100,70,70,70,70,70,70,70
부산3D프린터업체,890,420,300,240,150,100,70,70,70,70
스테인레스주문제작,820,770,690,600,510,400,310,270,240,220
EBMPAPST,1890,370,330,280,230,220,200,180,170,160
REXCAN,230,80,70,70,70,70,70,70,70,70
RAPIDFORM,70,70,70,70,70,70,70,70,70,70
제품생산,780,660,580,470,400,350,290,250,200,160
프로토타입,70,70,70,70,70,70,70,70,70,70
지그3D프린팅대행,70,70,70,70,70,70,70,70,70,70
지그3D프린팅서비스,70,70,70,70,70,70,70,70,70,70
지그3D프린팅,70,70,70,70,70,70,70,70,70,70
지그3D프린터대행,70,70,70,70,70,70,70,70,70,70
지그3D프린터서비스,70,70,70,70,70,70,70,70,70,70
지그3D프린터,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린팅대행,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린팅서비스,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린팅,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린터대행,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린터서비스,70,70,70,70,70,70,70,70,70,70
지그쓰리디프린터,70,70,70,70,70,70,70,70,70,70
지그3D출력대행,70,70,70,70,70,70,70,70,70,70
지그3D출력서비스,70,70,70,70,70,70,70,70,70,70
지그3D출력,70,70,70,70,70,70,70,70,70,70
지그3D출력소,70,70,70,70,70,70,70,70,70,70
지그쓰리디출력대행,70,70,70,70,70,70,70,70,70,70
지그쓰리디출력서비스,70,70,70,70,70,70,70,70,70,70
지그쓰리디출력,70,70,70,70,70,70,70,70,70,70
지그쓰리디출력소,70,70,70,70,70,70,70,70,70,70
골프채3D프린팅대행,70,70,70,70,70,70,70,70,70,70
골프채3D프린팅서비스,70,70,70,70,70,70,70,70,70,70
골프채3D프린팅,70,70,70,70,70,70,70,70,70,70
골프채3D프린터대행,70,70,70,70,70,70,70,70,70,70
골프채3D프린터서비스,70,70,70,70,70,70,70,70,70,70
골프채3D프린터,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린팅대행,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린팅서비스,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린팅,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린터대행,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린터서비스,70,70,70,70,70,70,70,70,70,70
골프채쓰리디프린터,70,70,70,70,70,70,70,70,70,70
골프채3D출력대행,70,70,70,70,70,70,70,70,70,70
골프채3D출력서비스,70,70,70,70,70,70,70,70,70,70
골프채3D출력,70,70,70,70,70,70,70,70,70,70
골프채3D출력소,70,70,70,70,70,70,70,70,70,70
골프채쓰리디출력대행,70,70,70,70,70,70,70,70,70,70
골프채쓰리디출력서비스,70,70,70,70,70,70,70,70,70,70
골프채쓰리디출력,70,70,70,70,70,70,70,70,70,70
골프채쓰리디출력소,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린팅대행,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린팅서비스,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린팅,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린터대행,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린터서비스,70,70,70,70,70,70,70,70,70,70
디자인소품3D프린터,70,70,70,70,70,70,70,70,70,70
디자인소품쓰리디프린팅대행,70,70,70,70,70,70,70,70,70,70
디자인소품쓰리디프린팅서비스,70,70,70,70,70,70,70,70,70,70
디자인소품쓰리디프린팅,70,70,70,70,70,70,70,70,70,70
디자인소품쓰리디프린터대행,70,70,70,70,70,70,70,70,70,70
디자인소품쓰리디프린터서비스,70,70,70,70,70,70,70,70,70,70
